task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
69	56/c8133c	77409	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5181310)	COMPLETED	0	2024-05-21 13:11:33.097	5.2s	2.8s	136.4%	7.2 MB	224.9 MB	32.9 MB	6.3 KB
68	ac/13344d	77657	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (ERR5181310)	COMPLETED	0	2024-05-21 13:11:38.299	4m 23s	4m 19s	234.0%	1 GB	1.6 GB	558.7 MB	525.7 MB
70	8d/a340a4	81457	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (SRR13500958)	COMPLETED	0	2024-05-21 13:16:01.421	7.7s	838ms	109.6%	7 MB	224.9 MB	5.2 MB	6.3 KB
71	4a/b7912b	81609	NFCORE_VIRALRECON:ILLUMINA:VARIANTS_IVAR:IVAR_VARIANTS (SRR13500958)	COMPLETED	0	2024-05-21 13:16:09.169	31.9s	26.4s	192.0%	77.2 MB	122 MB	55.7 MB	50.4 MB
80	ef/ae3139	82679	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_GENOME (ERR5405022)	COMPLETED	0	2024-05-21 13:16:41.292	3.8s	692ms	232.0%	6.1 MB	16.2 MB	7.6 MB	295.4 KB
77	fc/7a61b6	82813	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_GENOME (ERR5743893)	COMPLETED	0	2024-05-21 13:16:45.172	3.3s	712ms	246.5%	6 MB	17.1 MB	4.7 MB	105.3 KB
74	72/6fdeb8	82966	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_AMPLICON (ERR5556343)	COMPLETED	0	2024-05-21 13:16:48.486	2.8s	1.1s	251.4%	6.5 MB	17.8 MB	7.4 MB	182.8 KB
82	b0/c50b72	83109	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_AMPLICON (ERR5405022)	COMPLETED	0	2024-05-21 13:16:51.326	2.7s	642ms	261.4%	6.5 MB	17.7 MB	7.5 MB	405.5 KB
73	ef/65298e	83259	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_GENOME (ERR5556343)	COMPLETED	0	2024-05-21 13:16:54.102	2.5s	628ms	259.8%	6.2 MB	17 MB	7.4 MB	113.4 KB
76	c2/79846c	83399	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_AMPLICON (ERR5743893)	COMPLETED	0	2024-05-21 13:16:56.689	2.8s	478ms	206.6%	6.4 MB	16.8 MB	4.7 MB	165.7 KB
84	71/80e9c6	83542	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_AMPLICON (ERR5181310)	COMPLETED	0	2024-05-21 13:16:59.511	5.2s	3.5s	235.6%	6.5 MB	17.7 MB	32.9 MB	342.1 KB
86	56/ec703a	83789	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_GENOME (ERR5181310)	COMPLETED	0	2024-05-21 13:17:04.770	5.1s	3.4s	269.4%	6.2 MB	17.1 MB	32.9 MB	199.4 KB
89	05/78021d	84031	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_GENOME (SRR13500958)	COMPLETED	0	2024-05-21 13:17:09.920	2.3s	424ms	221.8%	6.1 MB	16.1 MB	5.3 MB	150 KB
90	c1/57a61d	84172	NFCORE_VIRALRECON:ILLUMINA:MOSDEPTH_AMPLICON (SRR13500958)	COMPLETED	0	2024-05-21 13:17:12.297	2.4s	406ms	209.7%	6.5 MB	17.7 MB	5.3 MB	221.3 KB
92	97/03641a	84325	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ERR5556343)	COMPLETED	0	2024-05-21 13:17:14.685	2.1s	48ms	171.4%	0	0	146.4 KB	6.2 KB
93	da/40ed9b	84503	NFCORE_VIRALRECON:ILLUMINA:BAM_TRIM_PRIMERS_IVAR:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ERR5743893)	COMPLETED	0	2024-05-21 13:17:16.755	2.3s	57ms	173.9%	0	0	146.4 KB	6.2 KB
